Alert ID,Alert Name,Release Date,Last revised,Alert Link
AA22-117A, 2021 Top Routinely Exploited Vulnerabilities,"April 27, 2022","April 28, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-117a
AA22-110A, Russian State-Sponsored and Criminal Cyber Threats to Critical Infrastructure,"April 20, 2022","May 09, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-110a
AA22-108A, TraderTraitor: North Korean State-Sponsored APT Targets Blockchain Companies ,"April 18, 2022","April 20, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-108a
AA22-103A, APT Cyber Tools Targeting ICS/SCADA Devices,"April 13, 2022","May 25, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
AA22-083A," Tactics, Techniques, and Procedures of Indicted State-Sponsored Russian Cyber Actors Targeting the Energy Sector","March 24, 2022","March 24, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
AA22-076A, Strengthening Cybersecurity of SATCOM Network Providers and Customers,"March 17, 2022","May 10, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-076a
AA22-074A, Russian State-Sponsored Cyber Actors Gain Network Access by Exploiting Default Multifactor Authentication Protocols and “PrintNightmare” Vulnerability,"March 15, 2022","May 02, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-074a
AA22-057A, Update: Destructive Malware Targeting Organizations in Ukraine,"February 26, 2022","April 28, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-057a
AA22-055A,: Iranian Government-Sponsored Actors Conduct Cyber Operations Against Global Government and Commercial Networks,"February 24, 2022","February 24, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
AA22-054A, New Sandworm Malware Cyclops Blink Replaces VPNFilter,"February 23, 2022","February 23, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-054a
AA22-047A, Russian State-Sponsored Cyber Actors Target Cleared Defense Contractor Networks to Obtain Sensitive U.S. Defense Information and Technology,"February 16, 2022","February 16, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-047a
AA22-040A, 2021 Trends Show Increased Globalized Threat of Ransomware,"February 09, 2022","February 10, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-040a
